fov,gene,count
X22_Y7,Igfbp7,4
X22_Y7,Inpp4b,4
X22_Y7,Lgals1,1
X22_Y7,Luzp2,9
X22_Y7,Lypd1,13
X22_Y7,Nek7,1
X22_Y7,Nell1,1
X22_Y7,Npy,4
X22_Y7,Nr4a2,1
X22_Y7,Nxph1,1
X22_Y7,Penk,8
X22_Y7,Pou3f1,8
X22_Y7,Prss23,1
X22_Y7,Reln,3
X22_Y7,Rorb,7
X22_Y7,Rprml,7
X22_Y7,Sstr1,30
X22_Y7,Tgtp1,1
X22_Y7,Thsd7a,5
X22_Y7,Zfpm2,4
X22_Y7,invalid,424
X22_Y8,Adra1b,26
X22_Y8,Atp1a2,22
X22_Y8,Atp2b4,25
X22_Y8,Bcl11b,4
X22_Y8,Car4,1
X22_Y8,Cdh20,3
X22_Y8,Coch,1
X22_Y8,Col12a1,6
X22_Y8,Cryab,5
X22_Y8,Cux2,61
X22_Y8,Flt1,14
X22_Y8,Foxp2,3
X22_Y8,Gapdh,76
X22_Y8,Grin3a,6
X22_Y8,Igfbp7,3
X22_Y8,Itm2a,4
X22_Y8,Luzp2,7
X22_Y8,Lypd1,5
X22_Y8,Nek7,2
X22_Y8,Npy,3
X22_Y8,Pdlim1,1
X22_Y8,Penk,2
X22_Y8,Pou3f1,2
X22_Y8,Prss23,3
X22_Y8,Reln,1
X22_Y8,Rorb,2
X22_Y8,Rprml,4
X22_Y8,Spon1,1
X22_Y8,Sstr1,18
X22_Y8,Thsd7a,1
X22_Y8,Vwc2,1
X22_Y8,Zfp804b,1
X22_Y8,Zfpm2,2
X22_Y8,invalid,322
X22_Y9,Adra1b,9
X22_Y9,Atp1a2,48
X22_Y9,Atp2b4,14
X22_Y9,Bcl11b,4
X22_Y9,Car2,2
X22_Y9,Car4,3
X22_Y9,Cdh9,1
X22_Y9,Chn2,1
X22_Y9,Coch,1
X22_Y9,Col12a1,4
X22_Y9,Cryab,15
X22_Y9,Crym,1
X22_Y9,Cux2,41
X22_Y9,Dlx6os1,3
X22_Y9,Flt1,7
X22_Y9,Foxp2,2
X22_Y9,Gapdh,122
X22_Y9,Grin3a,9
X22_Y9,Igfbp7,3
X22_Y9,Inpp4b,1
X22_Y9,Lgals1,1
X22_Y9,Luzp2,7
X22_Y9,Lypd1,3
X22_Y9,Npy,2
X22_Y9,Nr4a2,1
X22_Y9,Nxph1,1
X22_Y9,Penk,3
X22_Y9,Pld5,1
X22_Y9,Pou3f1,2
X22_Y9,Prss23,1
X22_Y9,Reln,6
X22_Y9,Rorb,4
X22_Y9,Rprml,4
X22_Y9,Sstr1,17
X22_Y9,Tgtp1,1
X22_Y9,Thsd7a,2
X22_Y9,Tmem163,1
X22_Y9,invalid,196
X23_Y4,invalid,192
X23_Y5,Adra1b,6
X23_Y5,Atp1a2,23
X23_Y5,Car4,2
X23_Y5,Coch,1
X23_Y5,Cryab,3
X23_Y5,Cux2,2
X23_Y5,Flt1,1
X23_Y5,Foxp2,4
X23_Y5,Gapdh,9
X23_Y5,Luzp2,11
X23_Y5,Nek7,4
X23_Y5,Nr4a2,1
X23_Y5,Penk,1
X23_Y5,Prss23,2
X23_Y5,Reln,2
X23_Y5,Rprml,2
X23_Y5,invalid,115
X23_Y6,Adra1b,1
X23_Y6,Atp1a2,16
X23_Y6,Atp2b4,2
X23_Y6,Bcl11b,1
X23_Y6,Car2,2
X23_Y6,Coch,2
X23_Y6,Col12a1,1
X23_Y6,Cux2,2
X23_Y6,Flt1,2
X23_Y6,Foxp2,1
X23_Y6,Gapdh,6
X23_Y6,Luzp2,1
X23_Y6,Lypd1,3
X23_Y6,Npy,1
X23_Y6,Penk,1
X23_Y6,Reln,1
X23_Y6,Spon1,1
X23_Y6,Sstr1,3
X23_Y6,invalid,101
X23_Y7,Adra1b,7
X23_Y7,Atp1a2,39
X23_Y7,Atp2b4,2
X23_Y7,Bcl11b,3
X23_Y7,Car2,1
X23_Y7,Car4,1
X23_Y7,Cdh9,1
X23_Y7,Chn2,2
X23_Y7,Coch,3
X23_Y7,Col12a1,1
X23_Y7,Cryab,6
X23_Y7,Cux2,6
X23_Y7,Flt1,3
X23_Y7,Foxp2,3
X23_Y7,Gapdh,17
X23_Y7,Inpp4b,1
X23_Y7,Lgals1,1
X23_Y7,Nek7,1
X23_Y7,Pdlim1,1
X23_Y7,Penk,4
X23_Y7,Pld5,1
X23_Y7,Prss23,1
X23_Y7,Reln,2
X23_Y7,Rorb,2
X23_Y7,Sstr1,1
X23_Y7,Tgtp1,2
X23_Y7,Tmem163,1
X23_Y7,invalid,80
X23_Y8,Atp1a2,9
X23_Y8,Atp2b4,1
X23_Y8,Bcl11b,1
X23_Y8,Col12a1,4
X23_Y8,Cux2,1
X23_Y8,Flt1,2
X23_Y8,Foxp2,3
X23_Y8,Gapdh,5
X23_Y8,Igfbp7,1
X23_Y8,Inpp4b,1
X23_Y8,Itm2a,3
X23_Y8,Lgals1,1
X23_Y8,Nek7,1
X23_Y8,Nxph1,1
X23_Y8,Prss23,1
X23_Y8,Reln,1
X23_Y8,Sstr1,2
X23_Y8,invalid,124
