FOV Name,C1,C2,C3,C4,Mean,SD
X17_Y15,10,105,123,113,87.75,45.33969011804117
X17_Y2,237,249,243,292,255.25,21.637640814099857
X17_Y3,215,230,231,246,230.5,10.965856099730654
X17_Y4,194,234,208,259,223.75,24.903564001965663
X17_Y5,312,322,304,327,316.25,8.898735865278843
X17_Y6,339,267,310,280,299.0,27.865749586185547
X17_Y7,294,255,251,218,254.5,26.949025956423732
X17_Y8,201,242,204,282,232.25,32.95735881407975
X17_Y9,222,183,186,223,203.5,19.03286631067428
X18_Y1,154,208,175,165,175.5,20.180436070610565
X18_Y10,262,236,282,246,256.5,17.399712641305314
X18_Y11,196,258,243,258,238.75,25.43005112067217
X18_Y12,382,428,443,404,414.25,23.24193408475293
X18_Y13,326,335,341,332,333.5,5.408326913195984
X18_Y14,13,295,288,247,210.75,115.63385101258196
X18_Y2,268,296,285,247,274.0,18.506755523321747
X18_Y3,212,217,218,204,212.75,5.539629951540085
X18_Y4,211,205,251,239,226.5,19.09842925478428
X18_Y5,282,285,297,274,284.5,8.261355820929152
X18_Y6,336,345,360,307,337.0,19.32614809008769
X18_Y7,262,280,281,267,272.5,8.200609733428363
X18_Y8,228,252,211,210,225.25,17.020208576865326
X18_Y9,219,226,198,214,214.25,10.304731922762475
X19_Y1,89,92,101,95,94.25,4.437059837324712
X19_Y10,258,239,229,238,241.0,10.559356040971437
X19_Y11,456,356,403,395,402.5,35.64056677439347
X19_Y12,240,291,286,315,283.0,27.13853349022382
X19_Y13,301,273,295,335,301.0,22.22611077089287
X19_Y14,25,11,7,13,14.0,6.708203932499369
X19_Y2,219,239,224,279,240.25,23.551804601770964
X19_Y3,256,227,255,272,252.5,16.194134740701646
X19_Y4,228,242,209,294,243.25,31.554516317002864
X19_Y5,254,254,242,268,254.5,9.205976319760984
X19_Y6,288,238,267,249,260.5,18.953891421024867
X19_Y7,355,305,294,359,328.25,29.046299247924853
X19_Y8,224,228,233,245,232.5,7.88986691902975
X19_Y9,199,227,238,247,227.75,18.046814123273947
X20_Y10,162,164,170,146,160.5,8.874119674649425
X20_Y11,390,391,423,402,401.5,13.275918047351754
X20_Y12,221,276,286,269,263.0,24.9899979991996
X20_Y13,120,113,145,122,125.0,12.020815280171307
X20_Y2,92,126,119,128,116.25,14.394009170484782
X20_Y3,284,310,302,303,299.75,9.60143218483576
X20_Y4,229,267,270,257,255.75,16.17675801883678
X20_Y5,242,243,242,231,239.5,4.924428900898052
X20_Y6,224,257,237,241,239.75,11.776565713313877
X20_Y7,255,260,265,214,248.5,20.22992832414391
X20_Y8,229,239,262,235,241.25,12.497499749949988
X20_Y9,260,259,258,244,255.25,6.53356717268599
X21_Y10,186,142,179,187,173.5,18.445866745696716
X21_Y11,201,246,218,231,224.0,16.56804152578089
X21_Y12,145,81,169,6,100.25,63.21145070317561
X21_Y2,28,11,32,28,24.75,8.104782538723663
X21_Y3,155,163,152,177,161.75,9.67923034130297
X21_Y4,315,271,228,290,276.0,31.804087787578503
X21_Y5,337,272,306,295,302.5,23.39337513057917
X21_Y6,248,252,249,293,260.5,18.82153022471871
X21_Y7,228,251,251,272,250.5,15.56438241627338
X21_Y8,309,240,246,241,259.0,28.956864471140516
